id;fname;lname;contact;course_id
1;Bedfordshire copy Auto;Rand frictionless;compressing Crossing Bedfordshire;22696
2;bypassing Account;connect USB;Shoes;22773
3;partnerships Planner invoice;virtual generate;open-source even-keeled;32278
4;Handmade;leading parsing bypassing;Beauty Intranet Usability;57640
5;olive;Soft;array Glens;78250
6;dedicated quantifying Total;matrix Automotive;Rubber Pre-emptive online;71654
7;generating collaborative;indexing;Rustic;97690
8;Berkshire;Central synthesize Summit;Handcrafted back;89992
9;COM Account;PNG Virgin Buckinghamshire;cross-platform Utah Ukraine;82468
10;Lebanese Distributed;input models;enable generate;41766
